01-01-2015  	233	187	187	114	157	114	233	187	114
02-01-2015  	207	157	157	157	187	157	207	157	157
03-01-2015  	193	133	133	133	157	133	193	133	133
04-01-2015 	    189	114	125	125	133	125	189	125	125
05-01-2015 	    187	157	114	114	125	114	187	114	114
06-01-2015 	    157	133	157	193	114	157	157	157	193
07-01-2015  	133	125	187	189	157	133	133	187	189
08-01-2015  	125	114	157	187	157	125	125	157	187
09-01-2015  	114	125	133	157	187	114	187	133	157
11-01-2015  	157	114	125	133	157	114	157	125	133
12-01-2015  	187	114	114	125	133	157	133	114	125
13-01-2015  	157	157	207	114	125	133	125	207	114
14-01-2015	    133	133	193	157	114	125	114	193	157
15-01-2015  	125	125	189	187	157	114	187	189	187
16-01-2015  	114	114	187	157	187	133	157	187	157
17-01-2015  	157	133	157	133	157	125	133	157	133
18-01-2015  	114	125	133	125	133	114	125	133	125
19-01-2015  	157	114	125	114	125	157	114	125	114
20-01-2015  	133	157	114	157	114	187	157	114	157
21-01-2015 	    125	114	114	114	157	157	187	114	114
22-01-2015  	114	157	157	157	233	133	157	157	157
23-01-2015  	125	133	133	133	207	125	133	133	133
24-01-2015  	114	125	125	125	193	114	125	125	125
25-01-2015  	114	114	114	114	189	187	114	114	114
26-01-2015  	157	114	125	157	187	157	157	125	157
27-01-2015  	133	157	114	133	157	133	133	114	133
28-01-2015  	125	133	114	125	133	125	125	114	125
29-01-2015  	114	125	157	114	125	114	114	157	114
30-01-2015  	133	114	133	157	114	157	157	133	157
31-01-2015 	    125	157	125	133	157	133	133	125	133
